,Unnamed: 0,player_id,salary,_id,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,draft_year,height,position,shoots,weight
71,71,babicmi01,200000.0,babicmi01,0.5,37.5,-,65.0,21,10.9,-1.1934394721991417,-1.0897595368758501,-0.7238100070828818,37.5,1990,7.0,Center and Power Forward,Right,240.0
72,72,bacondw01,815615.0,bacondw01,0.9,43.2,37.7,76.1,96,8.8,-0.5427500824716198,-0.5393319918107432,-0.6863048955385261,48.7,2017,6.583333333333333,Shooting Guard,Right,221.0
73,73,baglejo01,448222.2222222223,baglejo01,6.0,43.7,24.1,77.9,665,13.0,0.16709288814022216,-0.35585614345570765,-0.20186387142393394,44.8,1982,6.0,Point Guard,Right,185.0
74,74,baileja01,450000.0,baileja01,0.8,48.4,7.7,70.3,595,13.0,0.18681074843499582,0.7449989466745062,-0.21124014931002286,48.4,1979,6.75,Power Forward,Right,220.0
75,75,baileth01,726727.2727272727,baileth01,1.4,47.3,11.4,81.2,928,14.3,0.9755251602259315,0.7908679087632648,0.6857571017924802,47.3,1983,6.916666666666667,Power Forward and Small Forward,Right,215.0
76,76,baileto01,411250.0,baileto01,0.6,40.7,20.0,69.2,73,11.0,-0.8976715677775409,-0.7686768022545378,-0.6894303215005558,41.4,1998,6.5,Shooting Guard,Right,213.0
77,77,bairsca01,676197.5,bairsca01,0.2,29.6,20.0,84.6,36,5.0,-1.311746633967782,-1.0897595368758501,-0.7238100070828818,30.6,2014,6.75,Center and Power Forward,Right,250.0
78,78,bakervi01,5728876.117647059,bakervi01,1.9,48.5,21.5,63.8,791,16.3,1.4093180867109458,1.8458540368047198,0.7482656210330727,48.7,1993,6.916666666666667,Power Forward and Center,Right,232.0
79,79,balkmre01,1568459.5714285714,balkmre01,0.6,51.0,17.2,54.2,221,14.3,-0.759646545714127,0.0569645153431225,-0.49565391185471896,51.8,2006,6.666666666666667,Small Forward and Power Forward,Right,208.0
80,80,ballagr01,435416.5,ballagr01,2.2,47.2,33.8,78.7,802,15.7,0.8966537190468378,1.2495575296508539,0.9670454383751466,47.7,1977,6.583333333333333,Small Forward,Right,215.0
81,81,balllo01,6286560.0,balllo01,6.4,38.0,31.5,43.7,99,12.2,0.42342507197227636,1.295426491739613,-0.6112946724498152,46.1,2017,6.5,Point Guard,Right,190.0
82,82,banksge01,245000.0,banksge01,2.9,53.9,4.3,73.0,468,15.1,0.6797572558043306,1.1119506433845774,0.25444831903239157,53.9,1981,6.583333333333333,Small Forward and Power Forward,Right,215.0
83,83,banksma01,3266940.0,banksma01,2.1,43.2,32.7,76.8,348,12.2,-0.3850072001134326,-0.8604147264320556,-0.5144064676268967,46.9,2003,6.166666666666667,Point Guard,Right,200.0
84,84,bannike01,213750.0,bannike01,0.4,48.8,0.0,49.2,253,8.9,-0.3850072001134326,0.0569645153431225,-0.7019320253486743,48.8,1984,6.75,Power Forward,Right,235.0
85,85,bardost01,187500.0,bardost01,1.3,32.9,10.0,69.6,33,8.1,-1.114568031020048,-0.7228078401657789,-0.7238100070828818,33.5,1990,6.416666666666667,Shooting Guard,Right,190.0
86,86,barklch01,2907200.0,barklch01,3.9,54.1,26.6,73.5,1073,24.6,2.809286167639857,3.8182194066213526,4.817570223595647,55.8,1984,6.5,Small Forward and Power Forward,Right,252.0
87,87,barkler01,677566.6666666666,barkler01,1.5,35.6,26.7,90.0,27,9.9,-0.9765430089566345,-1.181497461053368,-0.7144337291967929,37.8,2000,6.083333333333333,Point Guard,Right,177.0
88,88,barneha02,9645672.0,barneha02,1.5,44.6,37.4,79.5,540,13.3,1.1332680425841184,0.6991299845857474,0.20756692960194717,50.0,2012,6.666666666666667,Power Forward and Small Forward,Right,225.0
